id,KPI - METRIC1,KPI - METRIC2,KPI - METRIC3,KPI - METRIC4,Age,Gender,Region,Date
43,0,0,0,0,41-50,Male,West,10/01/2015
44,1,0,0,1,21-30,Male,East,10/01/2015
45,0,1,1,0,31-40,Female,East,10/01/2015
46,1,0,0,1,41-50,Male,East,10/01/2015
47,0,0,0,1,41-50,Female,South,10/01/2015
48,1,0,0,1,31-40,Female,North,10/01/2015
49,1,0,1,1,21-30,Female,North,10/01/2015
50,0,0,0,1,21-30,Female,South,10/01/2015
51,0,0,1,0,31-40,Male,East,10/01/2015
52,0,0,0,0,31-40,Male,North,10/01/2015
53,0,1,0,0,31-40,Male,North,10/01/2015
54,0,0,0,1,21-30,Male,South,10/01/2015
55,0,1,1,1,21-30,Male,East,10/01/2015
56,0,0,0,1,41-50,Female,West,10/01/2015
57,1,1,0,0,41-50,Male,North,10/01/2015
58,1,0,0,1,41-50,Female,East,10/01/2015
59,0,0,0,0,41-50,Female,North,10/01/2015
60,1,0,1,0,41-50,Male,West,10/01/2015
61,1,1,0,0,41-50,Male,East,10/01/2015
62,0,0,0,1,21-30,Male,East,10/01/2015
63,0,0,0,0,21-30,Male,North,10/01/2015
64,0,0,0,1,21-30,Male,West,10/01/2015
65,1,1,0,1,31-40,Female,East,10/01/2015
66,0,0,0,0,21-30,Female,North,10/01/2015
67,1,0,0,0,41-50,Female,North,10/01/2015
68,1,1,0,1,31-40,Female,West,10/01/2015
69,0,0,0,1,21-30,Female,North,10/01/2015
70,0,0,1,0,41-50,Male,East,10/01/2015
71,1,0,0,1,41-50,Female,West,10/01/2015
72,1,0,0,1,41-50,Male,North,10/01/2015
73,1,0,0,0,31-40,Male,North,10/01/2015
74,0,0,0,0,41-50,Male,East,10/01/2015
75,0,0,0,0,31-40,Male,West,10/01/2015
76,1,0,0,1,21-30,Male,South,10/01/2015
77,0,0,0,1,21-30,Female,South,10/01/2015
78,0,1,0,0,21-30,Male,North,10/01/2015
79,1,1,0,1,31-40,Male,East,10/01/2015
80,1,1,0,1,41-50,Male,East,10/01/2015
81,0,1,1,1,21-30,Female,South,10/01/2015
82,1,0,1,0,31-40,Female,North,10/01/2015
83,1,0,0,1,31-40,Female,East,10/01/2015
84,1,0,0,1,21-30,Male,East,10/01/2015
85,1,0,0,1,41-50,Male,North,10/01/2015
86,0,0,0,1,31-40,Female,South,10/01/2015
87,1,1,0,0,21-30,Female,North,10/01/2015
88,1,0,0,1,41-50,Male,East,10/01/2015
89,1,1,1,1,31-40,Female,East,10/01/2015
90,1,0,0,1,21-30,Female,South,10/01/2015
91,1,0,0,0,31-40,Male,West,10/01/2015
92,0,0,0,1,31-40,Male,East,10/01/2015
93,1,0,0,0,21-30,Male,East,10/01/2015
94,1,1,0,1,41-50,Male,East,10/01/2015
95,1,1,0,1,31-40,Female,North,10/01/2015
96,0,0,0,0,31-40,Female,East,10/01/2015
97,0,1,0,1,31-40,Female,North,10/01/2015
98,0,0,1,1,21-30,Female,West,10/01/2015
99,0,0,1,0,21-30,Male,West,10/01/2015
100,0,0,0,0,41-50,Female,South,10/01/2015
101,0,0,0,1,41-50,Male,North,10/01/2015
102,1,0,0,1,41-50,Male,South,10/01/2015
103,1,1,0,1,41-50,Male,East,10/01/2015
104,0,1,0,0,41-50,Female,West,10/01/2015
105,0,0,0,1,41-50,Male,North,10/01/2015
106,0,0,0,1,31-40,Male,West,10/01/2015
107,0,0,0,0,21-30,Female,West,10/01/2015
108,0,0,0,1,31-40,Male,West,10/01/2015
109,1,1,0,1,21-30,Male,East,10/01/2015
110,1,0,0,0,31-40,Female,South,10/01/2015
111,0,0,0,1,41-50,Female,East,10/01/2015
112,1,0,0,1,41-50,Female,East,10/01/2015
113,1,1,1,0,41-50,Male,East,10/01/2015
114,0,0,0,1,31-40,Male,West,10/01/2015
115,0,0,0,0,31-40,Female,North,10/01/2015
116,0,0,0,1,31-40,Male,West,10/01/2015
117,1,0,0,0,41-50,Female,North,10/01/2015
118,0,0,1,1,41-50,Male,North,10/01/2015
119,0,0,0,0,41-50,Male,West,10/01/2015
120,1,0,0,1,41-50,Male,East,10/01/2015
121,1,0,0,1,21-30,Female,North,10/01/2015
122,0,0,1,1,21-30,Male,West,10/01/2015
123,0,1,0,1,31-40,Female,South,10/01/2015
124,1,0,0,1,21-30,Male,East,10/01/2015
125,1,0,0,1,41-50,Female,North,10/01/2015
126,0,0,0,1,41-50,Male,East,10/01/2015
127,1,0,0,1,41-50,Male,West,10/01/2015
128,1,1,1,1,41-50,Female,South,10/01/2015
129,0,0,0,1,31-40,Male,South,10/01/2015
130,1,1,0,0,41-50,Male,North,10/01/2015
131,1,0,1,0,31-40,Female,North,10/01/2015
132,1,0,0,1,31-40,Female,North,10/01/2015
133,0,0,0,1,31-40,Female,East,10/01/2015
134,1,1,0,1,21-30,Male,West,10/01/2015
135,1,1,0,1,21-30,Female,East,10/01/2015
136,0,1,0,1,41-50,Female,West,10/01/2015
137,0,1,0,0,31-40,Female,West,10/01/2015
138,1,0,0,1,41-50,Female,South,10/01/2015
139,1,0,0,1,31-40,Male,North,10/01/2015
140,0,0,1,1,31-40,Male,West,10/01/2015
141,0,0,1,1,31-40,Male,South,10/01/2015
142,0,0,0,1,41-50,Male,West,10/01/2015
143,1,0,0,0,31-40,Male,South,10/01/2015
144,1,0,0,0,41-50,Female,East,10/01/2015
145,0,0,0,1,21-30,Female,East,10/01/2015
146,1,0,0,1,41-50,Male,South,10/01/2015
147,0,1,0,1,31-40,Female,North,10/01/2015
148,0,1,0,1,41-50,Female,West,10/01/2015
149,1,0,0,0,41-50,Female,West,10/01/2015
150,1,0,0,1,41-50,Male,North,10/01/2015
151,1,0,0,1,41-50,Male,East,10/01/2015
152,0,1,0,1,21-30,Male,West,10/01/2015
153,1,0,1,0,21-30,Male,West,10/01/2015
154,0,1,0,0,31-40,Male,West,10/01/2015
155,0,0,0,1,31-40,Female,North,10/01/2015
156,1,0,0,1,31-40,Female,North,10/01/2015
157,0,0,0,1,41-50,Male,West,10/01/2015
158,1,0,0,1,31-40,Male,North,10/01/2015
159,1,0,0,1,41-50,Female,South,10/01/2015
160,1,0,0,1,31-40,Male,East,10/01/2015
161,1,0,0,1,21-30,Female,North,10/01/2015
162,1,1,0,1,21-30,Female,West,10/01/2015
163,0,0,0,1,41-50,Female,East,10/01/2015
164,1,0,0,0,41-50,Male,East,10/01/2015
165,0,0,0,1,21-30,Female,East,10/01/2015
166,1,1,0,1,21-30,Female,East,10/01/2015
167,1,0,0,1,21-30,Male,East,10/01/2015
168,1,0,0,1,41-50,Female,North,10/01/2015
169,1,1,0,1,31-40,Female,North,10/01/2015
170,0,1,0,1,31-40,Female,West,10/01/2015
171,0,0,0,1,21-30,Male,South,10/01/2015
172,1,0,0,1,31-40,Male,East,11/01/2015
173,0,1,0,1,31-40,Female,West,11/01/2015
174,0,0,0,1,31-40,Female,West,11/01/2015
175,0,0,0,1,21-30,Male,East,11/01/2015
176,1,0,0,1,31-40,Female,East,11/01/2015
177,1,0,0,1,41-50,Female,West,11/01/2015
178,0,1,0,0,31-40,Male,East,11/01/2015
179,0,0,0,1,21-30,Female,South,11/01/2015
180,0,1,0,1,21-30,Male,West,11/01/2015
181,1,1,0,0,21-30,Female,North,11/01/2015
182,0,1,0,0,21-30,Male,West,11/01/2015
183,1,0,0,1,31-40,Female,West,11/01/2015
184,1,0,0,1,21-30,Female,West,11/01/2015
185,0,0,0,1,31-40,Male,East,11/01/2015
186,0,1,0,1,41-50,Male,North,11/01/2015
187,0,0,0,0,41-50,Female,North,11/01/2015
188,1,0,0,1,41-50,Female,West,11/01/2015
189,1,0,0,0,21-30,Male,East,11/01/2015
190,1,1,0,0,31-40,Female,East,11/01/2015
191,1,1,0,1,21-30,Female,West,11/01/2015
192,0,1,0,1,31-40,Female,East,11/01/2015
193,1,0,0,1,21-30,Male,South,11/01/2015
194,0,1,0,1,31-40,Female,North,11/01/2015
195,1,1,0,1,41-50,Female,West,11/01/2015
196,0,1,0,1,31-40,Female,South,11/01/2015
197,0,0,0,1,21-30,Female,South,11/01/2015
198,1,0,0,0,41-50,Female,West,11/01/2015
199,0,0,0,0,31-40,Female,South,11/01/2015
200,1,0,0,1,41-50,Female,West,11/01/2015
201,1,0,0,0,21-30,Female,East,11/01/2015
202,0,1,0,1,31-40,Male,West,11/01/2015
203,1,1,1,0,21-30,Female,South,11/01/2015
204,1,0,0,0,41-50,Male,West,11/01/2015
205,1,0,1,1,41-50,Male,East,11/01/2015
206,0,0,0,1,31-40,Female,West,11/01/2015
207,1,1,0,1,41-50,Female,East,11/01/2015
208,1,1,1,0,31-40,Male,East,11/01/2015
209,1,1,0,1,41-50,Female,East,11/01/2015
210,0,0,0,1,41-50,Female,East,11/01/2015
211,0,1,0,1,31-40,Male,West,11/01/2015
212,0,0,0,1,21-30,Male,West,11/01/2015
213,1,0,0,1,41-50,Female,East,11/01/2015
214,0,0,0,1,31-40,Female,West,11/01/2015
215,0,0,0,1,31-40,Male,North,11/01/2015
216,0,0,0,1,21-30,Male,South,11/01/2015
217,0,1,0,1,41-50,Female,North,11/01/2015
218,0,0,0,0,21-30,Male,East,11/01/2015
219,1,0,0,1,21-30,Female,West,11/01/2015
220,1,1,0,1,31-40,Male,West,11/01/2015
221,0,1,0,1,31-40,Female,South,11/01/2015
222,0,0,0,1,31-40,Female,East,11/01/2015
223,0,0,0,1,21-30,Male,West,11/01/2015
224,1,0,0,1,21-30,Male,North,11/01/2015
225,1,0,1,1,31-40,Male,South,11/01/2015
226,1,0,0,1,21-30,Male,East,11/01/2015
227,0,0,0,1,31-40,Male,East,11/01/2015
228,0,1,0,1,21-30,Male,South,11/01/2015
229,0,1,0,1,41-50,Female,East,11/01/2015
230,1,0,0,1,21-30,Male,South,11/01/2015
231,1,0,0,1,31-40,Female,West,11/01/2015
232,0,0,0,0,41-50,Female,East,11/01/2015
233,1,0,0,1,21-30,Female,North,11/01/2015
234,1,0,0,1,21-30,Male,North,11/01/2015
235,1,0,0,1,21-30,Male,West,11/01/2015
236,0,0,0,0,31-40,Male,South,11/01/2015
237,1,0,0,1,21-30,Female,West,11/01/2015
238,1,1,0,1,21-30,Female,South,11/01/2015
239,0,0,0,1,41-50,Male,South,11/01/2015
240,0,0,0,0,31-40,Female,South,11/01/2015
241,1,0,1,1,21-30,Female,East,11/01/2015
242,0,1,0,1,21-30,Male,North,11/01/2015
243,1,0,0,1,41-50,Male,South,11/01/2015
244,1,1,0,1,41-50,Male,South,11/01/2015
245,0,0,0,1,21-30,Female,West,11/01/2015
246,0,1,0,0,41-50,Female,East,11/01/2015
247,0,1,0,1,31-40,Female,South,11/01/2015
248,1,1,0,0,41-50,Male,South,11/01/2015
249,1,0,0,1,31-40,Male,South,11/01/2015
250,0,1,0,0,41-50,Male,West,11/01/2015
251,1,0,0,1,41-50,Male,West,11/01/2015
252,1,0,0,1,31-40,Female,East,11/01/2015
253,0,0,0,1,31-40,Male,East,11/01/2015
254,1,0,0,1,31-40,Male,North,11/01/2015
255,0,0,0,1,41-50,Male,North,11/01/2015
256,0,0,0,1,21-30,Female,West,11/01/2015
257,1,0,0,1,21-30,Male,West,11/01/2015
258,1,0,0,0,41-50,Female,East,11/01/2015
259,1,0,0,1,31-40,Male,South,11/01/2015
260,0,1,1,1,31-40,Female,South,11/01/2015
261,0,1,1,0,41-50,Male,North,11/01/2015
262,0,0,0,0,21-30,Male,South,11/01/2015
263,1,1,0,1,41-50,Female,West,11/01/2015
264,1,0,0,1,21-30,Male,East,11/01/2015
265,0,1,0,1,31-40,Female,East,11/01/2015
266,0,1,0,1,41-50,Female,South,11/01/2015
267,0,1,0,0,21-30,Female,South,11/01/2015
268,1,1,0,1,21-30,Female,North,11/01/2015
269,0,0,0,1,21-30,Male,East,11/01/2015
270,1,0,0,1,21-30,Female,West,11/01/2015
271,0,1,0,1,41-50,Male,North,11/01/2015
272,1,1,0,1,31-40,Male,East,11/01/2015
273,0,0,0,1,31-40,Male,South,11/01/2015
274,1,0,0,1,21-30,Female,West,11/01/2015
275,0,0,1,1,41-50,Male,East,11/01/2015
276,0,0,1,1,41-50,Male,North,11/01/2015
277,1,0,0,1,41-50,Male,West,11/01/2015
278,1,1,0,1,41-50,Female,North,11/01/2015
279,0,0,0,1,31-40,Female,West,11/01/2015
280,0,0,0,1,31-40,Male,West,11/01/2015
281,1,0,0,1,41-50,Female,East,11/01/2015
282,0,0,0,1,31-40,Female,South,11/01/2015
283,0,0,1,1,21-30,Male,South,11/01/2015
284,0,1,0,1,21-30,Female,East,11/01/2015
285,1,0,0,1,41-50,Male,West,11/01/2015
286,1,0,0,1,31-40,Male,North,11/01/2015
287,1,0,0,1,41-50,Male,East,11/01/2015
288,0,0,0,1,31-40,Female,West,11/01/2015
289,0,0,0,1,41-50,Male,South,11/01/2015
290,1,1,0,1,41-50,Female,South,11/01/2015
291,1,1,0,1,21-30,Male,West,11/01/2015
292,0,0,0,1,21-30,Male,South,11/01/2015
293,1,0,0,0,21-30,Male,West,11/01/2015
294,0,0,1,1,31-40,Female,West,11/01/2015
295,0,1,0,1,21-30,Female,South,11/01/2015
296,1,0,0,1,41-50,Male,North,11/01/2015
297,1,0,0,1,21-30,Male,South,11/01/2015
298,0,1,0,1,41-50,Male,West,11/01/2015
299,0,0,0,1,41-50,Male,East,11/01/2015
300,0,0,0,0,21-30,Female,South,11/01/2015
301,0,1,0,1,41-50,Female,West,11/01/2015
302,0,0,0,0,31-40,Female,East,11/01/2015
303,0,1,0,0,41-50,Male,West,11/01/2015
304,0,1,0,1,41-50,Male,East,11/01/2015
305,0,0,0,1,21-30,Female,North,11/01/2015
306,1,0,1,1,21-30,Male,East,11/01/2015
307,1,0,0,0,31-40,Male,East,11/01/2015
308,1,0,0,1,41-50,Female,East,11/01/2015
309,0,0,0,0,21-30,Male,North,11/01/2015
310,0,0,0,1,31-40,Male,East,11/01/2015
311,1,0,0,1,31-40,Female,North,11/01/2015
312,1,1,1,1,31-40,Female,West,11/01/2015
313,0,0,0,1,31-40,Male,South,11/01/2015
314,1,0,0,1,41-50,Female,North,11/01/2015
315,1,0,0,1,41-50,Female,East,11/01/2015
316,0,1,0,0,21-30,Male,East,11/01/2015
317,1,1,0,1,31-40,Male,East,11/01/2015
318,0,1,0,1,31-40,Male,North,11/01/2015
319,1,0,0,1,21-30,Male,South,11/01/2015
320,0,0,1,1,41-50,Male,North,11/01/2015
321,1,1,0,1,31-40,Female,South,11/01/2015
322,1,0,0,1,41-50,Male,East,11/01/2015
323,0,1,0,1,21-30,Female,South,11/01/2015
324,1,0,0,1,41-50,Female,East,11/01/2015
325,0,1,0,0,31-40,Female,East,11/01/2015
326,0,0,0,1,41-50,Male,West,11/01/2015
327,0,0,0,0,31-40,Male,South,11/01/2015
328,0,0,0,1,21-30,Male,North,11/01/2015
329,1,0,0,1,21-30,Female,West,11/01/2015
330,1,1,0,1,41-50,Female,East,11/01/2015
331,0,0,0,1,31-40,Female,East,11/01/2015
332,1,0,0,0,41-50,Male,North,11/01/2015
333,0,0,0,1,31-40,Female,West,11/01/2015
334,1,0,0,1,21-30,Female,West,11/01/2015
335,0,0,0,1,21-30,Male,South,11/01/2015
336,0,1,0,0,21-30,Male,East,11/01/2015
337,0,0,0,1,31-40,Male,North,11/01/2015
338,1,0,0,1,21-30,Female,West,11/01/2015
339,1,0,0,1,21-30,Female,South,11/01/2015
340,1,0,0,1,41-50,Male,South,11/01/2015
341,0,0,0,1,31-40,Male,East,11/01/2015
342,0,0,0,1,31-40,Female,East,11/01/2015
343,1,0,0,0,31-40,Male,West,11/01/2015
344,0,0,0,0,31-40,Female,West,11/01/2015
345,0,0,0,1,31-40,Female,South,11/01/2015
346,0,0,0,1,31-40,Female,North,11/01/2015
347,0,0,0,1,31-40,Female,South,11/01/2015
348,0,0,0,0,31-40,Female,South,11/01/2015
349,0,0,0,1,21-30,Female,South,11/01/2015
350,0,0,0,0,21-30,Male,East,11/01/2015
351,1,0,0,0,41-50,Male,South,11/01/2015
352,0,0,0,1,31-40,Female,East,11/01/2015
353,1,0,0,1,41-50,Male,East,11/01/2015
354,0,0,0,1,31-40,Female,North,12/01/2015
355,0,0,0,1,21-30,Female,South,12/01/2015
356,0,0,0,1,41-50,Female,North,12/01/2015
357,0,1,0,1,31-40,Male,South,12/01/2015
358,0,0,0,0,31-40,Female,North,12/01/2015
359,0,0,1,1,31-40,Male,South,12/01/2015
360,1,0,0,1,21-30,Male,North,12/01/2015
361,1,0,0,1,41-50,Female,South,12/01/2015
362,0,1,0,1,41-50,Female,North,12/01/2015
363,1,0,1,1,31-40,Male,West,12/01/2015
364,1,0,0,1,21-30,Male,South,12/01/2015
365,1,0,1,1,41-50,Male,East,12/01/2015
366,1,0,0,0,21-30,Female,West,12/01/2015
367,0,0,1,1,31-40,Female,South,12/01/2015
368,1,0,0,0,41-50,Male,West,12/01/2015
369,1,0,0,1,31-40,Female,East,12/01/2015
370,0,1,1,1,21-30,Female,West,12/01/2015
371,0,0,0,1,21-30,Female,East,12/01/2015
372,1,0,0,1,21-30,Male,South,12/01/2015
373,0,1,0,1,31-40,Male,North,12/01/2015
374,1,0,0,0,21-30,Male,West,12/01/2015
375,0,1,0,1,41-50,Female,East,12/01/2015
376,0,0,0,1,21-30,Female,West,12/01/2015
377,1,1,0,1,31-40,Female,West,12/01/2015
378,1,0,0,1,31-40,Female,North,12/01/2015
379,0,0,0,1,31-40,Female,South,12/01/2015
380,1,0,0,1,31-40,Male,West,12/01/2015
381,0,1,0,1,31-40,Male,East,12/01/2015
382,0,1,0,1,21-30,Male,North,12/01/2015
383,0,0,0,0,31-40,Female,East,12/01/2015
384,0,0,0,1,21-30,Female,North,12/01/2015
385,1,1,0,1,21-30,Male,East,12/01/2015
386,1,0,0,1,31-40,Male,West,12/01/2015
387,1,0,0,1,21-30,Male,West,12/01/2015
388,1,1,0,1,31-40,Female,South,12/01/2015
389,1,0,0,0,41-50,Female,South,12/01/2015
390,0,1,0,0,31-40,Female,South,12/01/2015
391,1,0,0,1,21-30,Female,East,12/01/2015
392,1,1,0,1,21-30,Female,West,12/01/2015
393,1,0,0,0,21-30,Male,West,12/01/2015
394,0,0,0,0,31-40,Male,North,12/01/2015
395,1,0,0,1,31-40,Male,West,12/01/2015
396,0,1,0,1,21-30,Male,South,12/01/2015
397,1,0,0,0,31-40,Female,West,12/01/2015
398,1,1,0,0,31-40,Female,West,12/01/2015
399,1,0,1,1,41-50,Male,North,12/01/2015
400,1,1,0,1,41-50,Female,North,12/01/2015
401,0,0,0,1,21-30,Male,South,12/01/2015
402,0,1,0,1,21-30,Male,North,12/01/2015
403,0,1,1,0,31-40,Female,North,12/01/2015
404,1,0,0,1,41-50,Male,East,12/01/2015
405,1,0,0,1,41-50,Male,North,12/01/2015
406,1,1,0,0,31-40,Male,West,12/01/2015
407,0,0,0,1,31-40,Female,North,12/01/2015
408,0,0,0,1,31-40,Male,South,12/01/2015
409,1,0,0,1,31-40,Male,South,12/01/2015
410,0,0,0,1,41-50,Female,West,12/01/2015
411,1,1,0,1,21-30,Male,South,12/01/2015
412,1,0,0,1,41-50,Male,South,12/01/2015
413,1,0,0,1,31-40,Male,West,12/01/2015
414,1,0,0,1,21-30,Male,East,12/01/2015
415,1,1,0,1,41-50,Male,North,12/01/2015
416,0,0,0,0,21-30,Female,North,12/01/2015
417,0,0,0,1,21-30,Male,East,12/01/2015
418,0,1,0,1,41-50,Female,West,12/01/2015
419,0,1,0,0,41-50,Female,East,12/01/2015
420,0,0,0,1,31-40,Male,South,12/01/2015
421,0,0,1,1,41-50,Female,North,12/01/2015
422,1,0,0,0,41-50,Female,North,12/01/2015
423,0,1,0,1,21-30,Male,West,12/01/2015
424,1,1,0,0,41-50,Female,East,12/01/2015
425,0,1,0,1,21-30,Male,West,12/01/2015
426,1,0,0,1,21-30,Female,East,12/01/2015
427,0,1,0,1,21-30,Female,West,12/01/2015
428,0,0,0,1,31-40,Male,South,12/01/2015
429,1,0,0,1,41-50,Male,East,12/01/2015
430,1,1,0,1,21-30,Female,West,12/01/2015
431,1,0,0,0,21-30,Male,South,12/01/2015
432,0,0,0,1,21-30,Male,North,12/01/2015
433,0,0,1,1,41-50,Female,East,12/01/2015
434,1,0,0,0,41-50,Male,North,12/01/2015
435,0,0,0,1,31-40,Male,North,12/01/2015
436,0,1,0,1,41-50,Male,South,12/01/2015
437,0,1,0,0,41-50,Male,South,12/01/2015
438,1,0,1,1,21-30,Male,South,12/01/2015
439,0,0,0,1,31-40,Male,North,12/01/2015
440,0,0,0,0,31-40,Male,North,12/01/2015
441,0,0,0,1,41-50,Female,South,12/01/2015
442,1,0,0,1,41-50,Male,South,12/01/2015
443,1,0,0,1,21-30,Female,North,12/01/2015
444,0,0,0,1,41-50,Female,West,12/01/2015
445,0,1,0,1,31-40,Female,West,12/01/2015
446,1,0,0,1,31-40,Female,South,12/01/2015
447,1,1,0,1,41-50,Female,North,12/01/2015
448,0,0,0,0,41-50,Female,West,12/01/2015
449,1,1,0,1,21-30,Female,South,12/01/2015
450,0,0,0,1,31-40,Male,East,12/01/2015
451,1,1,0,1,21-30,Male,West,12/01/2015
452,0,0,0,0,41-50,Female,North,12/01/2015
453,0,0,0,1,31-40,Male,West,12/01/2015
454,1,1,1,0,41-50,Male,West,12/01/2015
455,0,0,0,1,41-50,Male,North,12/01/2015
456,1,1,0,1,21-30,Female,West,12/01/2015
457,0,0,0,1,31-40,Female,South,12/01/2015
458,0,0,0,1,21-30,Female,South,12/01/2015
459,0,0,0,1,31-40,Female,East,12/01/2015
460,0,0,0,1,21-30,Male,East,12/01/2015
461,1,0,0,0,41-50,Male,North,12/01/2015
462,0,0,0,0,21-30,Male,West,12/01/2015
463,0,0,0,1,21-30,Female,South,12/01/2015
464,1,0,0,1,31-40,Male,East,12/01/2015
465,0,0,0,1,41-50,Female,North,12/01/2015
466,0,1,1,0,31-40,Female,West,12/01/2015
467,1,1,0,1,31-40,Male,North,12/01/2015
468,0,0,1,1,21-30,Female,East,12/01/2015
469,1,1,0,1,31-40,Female,South,12/01/2015
470,0,0,0,1,21-30,Male,West,12/01/2015
471,1,1,0,1,41-50,Male,South,12/01/2015
472,0,0,0,1,31-40,Female,North,12/01/2015
473,1,1,0,1,31-40,Female,North,12/01/2015
474,0,0,0,1,21-30,Male,South,12/01/2015
475,0,1,1,1,31-40,Male,North,12/01/2015
476,1,0,0,1,31-40,Female,North,12/01/2015
477,1,0,0,1,41-50,Male,North,12/01/2015
478,1,1,0,1,41-50,Female,South,12/01/2015
479,0,0,0,1,41-50,Female,West,12/01/2015
480,1,0,0,1,41-50,Male,East,12/01/2015
481,1,0,0,1,21-30,Male,South,12/01/2015
482,0,0,0,1,21-30,Female,East,12/01/2015
483,0,0,0,1,41-50,Male,North,12/01/2015
484,1,1,0,1,31-40,Male,South,12/01/2015
485,1,0,0,0,41-50,Female,West,12/01/2015
486,0,1,0,1,31-40,Female,West,12/01/2015
487,1,1,0,0,31-40,Male,West,12/01/2015
488,1,1,0,1,31-40,Female,South,12/01/2015
489,0,1,0,0,31-40,Male,South,12/01/2015
490,0,1,0,1,41-50,Male,North,12/01/2015
491,1,1,1,1,41-50,Female,West,12/01/2015
492,1,1,1,1,21-30,Male,West,12/01/2015
493,0,0,0,1,31-40,Male,South,12/01/2015
494,0,0,0,1,21-30,Female,North,12/01/2015
495,0,0,0,1,21-30,Male,South,12/01/2015
496,1,1,0,1,31-40,Female,North,12/01/2015
497,0,0,0,1,21-30,Male,South,12/01/2015
498,0,1,0,1,41-50,Male,East,12/01/2015
499,1,1,0,0,31-40,Male,East,12/01/2015
500,1,0,1,1,21-30,Female,South,12/01/2015
501,1,0,1,1,21-30,Male,South,12/01/2015
502,0,1,1,1,21-30,Male,South,12/01/2015
503,0,1,0,0,21-30,Female,West,12/01/2015
504,1,1,1,0,31-40,Female,East,12/01/2015
505,1,1,0,1,41-50,Female,North,12/01/2015
506,0,0,0,1,21-30,Female,East,12/01/2015
507,0,1,0,0,41-50,Female,North,12/01/2015
508,1,1,0,0,21-30,Male,West,12/01/2015
509,1,1,0,1,31-40,Female,North,12/01/2015
510,1,0,0,0,31-40,Female,South,12/01/2015
511,0,0,1,1,41-50,Male,South,13/01/2015
512,0,0,0,1,31-40,Female,North,13/01/2015
513,1,1,0,1,31-40,Male,West,13/01/2015
514,0,0,0,1,21-30,Male,North,13/01/2015
515,0,0,0,0,21-30,Female,West,13/01/2015
516,1,1,0,1,21-30,Female,South,13/01/2015
517,1,0,0,1,21-30,Male,East,13/01/2015
518,1,0,0,1,41-50,Female,North,13/01/2015
519,1,0,0,1,31-40,Female,North,13/01/2015
520,0,1,0,1,31-40,Male,North,13/01/2015
521,0,0,0,1,41-50,Male,West,13/01/2015
522,0,0,0,1,21-30,Male,North,13/01/2015
523,1,1,0,1,21-30,Female,North,13/01/2015
524,1,0,0,1,41-50,Female,South,13/01/2015
525,0,0,0,1,41-50,Female,East,13/01/2015
526,1,0,0,1,41-50,Male,North,13/01/2015
527,1,0,0,1,31-40,Female,West,13/01/2015
528,0,0,0,0,21-30,Female,South,13/01/2015
529,0,0,0,1,21-30,Male,West,13/01/2015
530,1,1,0,1,31-40,Male,South,13/01/2015
531,1,0,0,1,31-40,Female,North,13/01/2015
532,0,1,0,1,21-30,Female,East,13/01/2015
533,0,0,0,1,41-50,Female,West,13/01/2015
534,0,0,1,0,31-40,Male,North,13/01/2015
