id,KPI - METRIC1,KPI - METRIC2,KPI - METRIC3,KPI - METRIC4,KPI - METRIC5,Age,Gender,Region,Date
41,0,1,0,1,1,21-30,Male,East,16/02/2015
42,0,1,1,1,1,31-40,Female,North,19/12/2015
43,1,1,1,1,1,21-30,Male,West,17/12/2016
44,1,1,1,1,0,21-30,Male,South,20/01/2016
45,0,1,1,1,0,21-30,Female,West,11/06/2016
46,1,0,0,1,0,31-40,Female,South,13/12/2015
47,0,1,1,1,1,21-30,Female,South,17/04/2015
48,1,1,1,1,0,41-50,Female,East,14/09/2015
49,1,1,1,1,0,41-50,Female,West,12/02/2016
50,0,1,1,1,1,31-40,Male,East,23/01/2015
51,1,1,0,1,1,41-50,Male,East,23/12/2016
52,1,1,1,1,0,41-50,Female,East,13/05/2016
53,0,1,0,1,1,41-50,Female,West,21/03/2016
54,0,1,0,1,1,31-40,Male,North,16/05/2016
55,0,1,1,1,0,21-30,Female,North,12/06/2015
56,0,1,1,0,1,31-40,Female,North,11/11/2016
57,1,1,1,1,0,41-50,Male,West,25/09/2016
58,1,1,0,1,0,31-40,Female,East,24/07/2016
59,1,1,0,1,0,41-50,Female,East,15/10/2016
60,0,1,0,1,0,21-30,Female,North,11/03/2015
61,0,1,0,1,1,41-50,Female,South,14/06/2016
62,1,1,1,1,0,41-50,Female,South,24/07/2016
63,0,1,1,0,1,41-50,Female,East,11/06/2015
64,0,0,1,1,1,41-50,Female,South,20/04/2015
65,1,1,1,1,0,31-40,Male,North,22/09/2016
66,0,1,0,1,1,41-50,Male,North,20/05/2016
67,1,1,1,1,0,21-30,Female,West,15/05/2016
68,0,1,1,1,1,21-30,Male,South,21/02/2016
69,0,1,1,1,1,41-50,Female,East,21/09/2016
70,1,1,0,1,1,41-50,Female,South,25/02/2016
71,1,1,1,1,1,21-30,Male,East,13/11/2015
72,0,1,0,1,1,41-50,Female,North,25/11/2015
73,0,1,0,1,0,41-50,Male,West,19/02/2015
74,1,1,0,1,1,31-40,Female,South,22/09/2015
75,0,1,1,1,1,21-30,Female,East,14/12/2015
76,1,1,1,0,1,41-50,Female,North,23/03/2015
77,0,1,0,1,0,21-30,Female,North,24/08/2016
78,0,1,1,1,0,31-40,Male,East,21/06/2016
79,0,1,0,1,1,41-50,Male,West,15/08/2015
80,0,1,1,1,0,21-30,Male,South,14/05/2016
81,1,1,0,1,1,21-30,Male,West,20/04/2016
82,1,1,0,1,1,21-30,Male,East,21/11/2015
83,0,1,0,1,0,21-30,Female,West,19/12/2015
84,1,1,1,1,1,31-40,Male,East,12/05/2016
85,0,1,0,1,0,31-40,Female,North,11/05/2015
86,0,1,0,1,1,41-50,Male,North,10/07/2016
87,0,1,1,1,0,21-30,Male,South,10/08/2016
88,1,1,1,1,0,31-40,Male,North,23/11/2015
89,1,1,1,1,1,31-40,Male,North,17/10/2015
90,0,1,1,1,1,41-50,Female,East,17/09/2015
91,0,1,0,1,1,41-50,Male,South,19/08/2015
92,0,1,0,1,0,31-40,Male,South,21/09/2016
93,1,1,0,0,0,31-40,Female,South,23/03/2016
94,0,1,0,1,1,31-40,Female,East,12/08/2015
95,0,1,0,1,1,31-40,Male,North,20/09/2015
96,1,1,1,1,1,21-30,Male,South,15/03/2015
97,0,1,1,0,0,41-50,Female,East,25/04/2015
98,0,1,0,1,0,41-50,Female,North,12/08/2016
99,0,1,0,1,0,21-30,Female,South,17/09/2015
100,1,0,1,0,1,21-30,Male,South,24/09/2016
101,1,1,0,1,0,41-50,Male,North,13/09/2016
102,0,1,0,1,0,41-50,Male,East,17/02/2015
103,0,1,1,1,1,41-50,Male,South,13/07/2016
104,1,1,0,1,1,21-30,Male,West,10/07/2015
105,1,1,0,1,1,41-50,Female,West,14/11/2016
106,1,1,1,1,1,21-30,Female,North,14/11/2015
107,1,1,0,1,1,21-30,Female,East,18/02/2015
108,1,1,0,1,1,21-30,Male,West,16/02/2015
109,1,1,1,1,1,41-50,Male,West,21/08/2015
110,0,1,1,1,0,31-40,Male,West,15/05/2016
111,0,1,1,1,0,41-50,Female,West,15/03/2015
112,1,1,0,1,0,41-50,Male,East,19/06/2015
113,0,1,0,1,0,41-50,Male,South,23/03/2016
114,1,1,0,1,1,41-50,Male,South,11/04/2015
115,1,1,0,1,1,41-50,Female,West,18/12/2016
116,0,1,0,0,0,41-50,Female,East,12/12/2015
117,0,0,0,0,1,41-50,Male,South,10/10/2016
118,0,0,0,1,1,31-40,Male,North,17/03/2016
119,0,1,1,1,1,31-40,Male,West,24/06/2015
120,0,1,1,1,0,31-40,Female,West,18/08/2016
121,0,1,0,1,0,31-40,Female,North,21/07/2015
122,0,1,0,1,1,31-40,Female,South,10/06/2015
123,1,0,0,1,0,41-50,Male,North,17/11/2015
124,0,1,0,0,1,41-50,Female,North,16/02/2016
125,1,1,0,0,1,41-50,Male,North,16/06/2016
126,0,1,0,1,0,21-30,Female,East,25/12/2015
127,0,1,0,1,0,31-40,Male,North,20/10/2015
128,1,0,1,1,1,21-30,Male,South,13/08/2016
129,0,1,1,1,0,21-30,Male,West,10/03/2016
130,0,1,0,1,0,41-50,Male,North,13/04/2016
131,0,1,1,1,0,41-50,Male,South,20/12/2015
132,0,1,1,1,1,41-50,Female,East,14/04/2016
133,1,1,1,1,0,21-30,Male,North,18/10/2016
134,0,1,1,0,1,31-40,Female,North,21/07/2016
135,0,1,0,0,0,21-30,Female,West,12/07/2016
136,1,1,1,1,0,31-40,Female,East,11/08/2016
137,1,1,0,1,0,21-30,Male,West,19/07/2016
138,0,1,0,1,1,41-50,Female,South,14/03/2016
139,0,1,1,1,0,41-50,Female,East,10/10/2015
140,0,1,0,1,1,41-50,Male,East,21/08/2016
141,1,1,1,1,0,21-30,Male,East,25/11/2016
142,0,1,1,0,0,31-40,Female,East,24/01/2015
143,0,1,0,1,0,21-30,Female,East,14/05/2015
144,0,1,1,0,0,21-30,Female,North,18/06/2016
145,0,1,1,1,0,21-30,Female,South,13/11/2016
146,1,1,0,1,0,21-30,Male,South,11/09/2016
147,1,1,0,1,0,21-30,Female,West,18/06/2015
148,1,1,0,1,0,31-40,Female,North,22/10/2016
149,0,1,1,0,0,41-50,Male,East,11/06/2015
150,0,1,1,0,0,31-40,Male,West,18/10/2015
151,0,1,0,1,1,31-40,Male,North,11/03/2015
152,1,1,1,1,1,31-40,Male,South,18/03/2016
153,0,1,0,1,1,41-50,Female,West,12/02/2016
154,1,1,0,1,1,31-40,Female,West,22/02/2015
155,1,0,1,1,1,31-40,Female,East,14/01/2015
156,1,0,0,1,1,21-30,Male,South,16/02/2016
157,0,1,1,1,1,21-30,Male,North,10/06/2016
158,0,0,1,1,0,41-50,Female,West,25/08/2016
159,0,1,1,1,1,21-30,Female,West,16/11/2015
160,0,1,1,1,0,41-50,Female,East,18/12/2016
161,0,1,0,1,0,21-30,Male,South,23/11/2015
162,0,1,0,1,0,21-30,Male,South,25/04/2015
163,1,1,1,1,0,21-30,Male,West,18/12/2015
164,0,0,1,1,1,21-30,Female,South,14/05/2015
165,0,1,1,1,1,31-40,Female,East,12/03/2016
166,0,1,1,1,0,31-40,Male,West,25/01/2016
167,1,1,1,1,0,31-40,Female,West,10/03/2015
168,0,1,0,0,1,41-50,Male,East,12/08/2016
169,0,1,0,1,0,41-50,Female,South,15/03/2015
170,0,1,0,1,0,41-50,Male,North,22/03/2015
171,0,1,1,1,1,41-50,Female,East,17/11/2016
172,1,1,1,1,1,21-30,Female,East,15/06/2016
173,1,1,1,1,0,41-50,Male,East,11/01/2016
174,0,1,1,1,0,31-40,Male,East,12/08/2015
175,1,1,1,1,0,31-40,Male,South,25/05/2016
176,1,0,1,1,0,21-30,Female,West,23/04/2015
177,1,1,0,1,1,31-40,Female,West,15/03/2016
178,0,1,0,1,1,21-30,Male,West,14/02/2016
179,1,1,1,1,0,31-40,Male,South,18/06/2015
180,0,1,0,1,0,41-50,Female,West,20/12/2015
181,0,1,0,1,1,31-40,Female,North,17/08/2016
182,1,0,1,1,0,31-40,Male,East,20/03/2016
183,1,1,1,1,0,41-50,Female,South,13/05/2016
184,0,1,1,0,0,31-40,Female,East,22/05/2015
185,1,1,1,1,1,41-50,Female,South,20/10/2015
186,1,1,1,1,1,21-30,Male,West,21/02/2016
187,1,1,1,1,0,31-40,Male,South,15/05/2016
188,0,1,0,1,1,31-40,Male,North,22/12/2015
189,0,0,0,1,0,31-40,Male,West,23/10/2015
190,1,1,0,1,1,41-50,Male,East,15/12/2015
191,0,1,0,1,0,21-30,Male,West,22/08/2015
192,1,1,1,0,1,41-50,Male,South,22/11/2015
193,0,1,0,1,1,21-30,Male,West,20/05/2015
194,1,1,0,0,1,31-40,Female,West,10/02/2016
195,1,1,0,1,0,21-30,Male,South,14/07/2015
196,1,1,1,1,1,21-30,Male,East,12/07/2016
197,0,1,1,1,1,31-40,Male,North,17/06/2015
198,1,1,1,1,0,21-30,Female,West,18/11/2016
199,1,1,0,1,1,31-40,Male,East,11/09/2015
200,0,1,0,1,1,31-40,Male,East,18/01/2016
201,1,1,0,1,0,21-30,Male,South,10/11/2016
202,1,1,1,1,0,41-50,Female,East,12/02/2015
203,1,0,1,1,1,31-40,Female,South,12/06/2015
204,0,1,0,1,1,41-50,Male,South,10/07/2015
205,0,1,1,1,1,31-40,Female,North,11/02/2015
206,1,1,0,1,0,41-50,Male,East,25/01/2015
207,0,1,1,1,1,41-50,Female,East,21/05/2016
208,1,1,0,1,0,41-50,Male,South,16/09/2016
209,0,0,0,1,1,31-40,Male,South,19/05/2015
210,1,1,0,1,0,31-40,Female,South,20/04/2015
211,1,1,0,1,0,41-50,Female,West,14/05/2015
212,1,1,0,1,1,31-40,Male,South,20/02/2016
213,0,0,0,1,1,21-30,Female,East,17/07/2016
214,1,1,1,0,0,31-40,Male,East,21/05/2015
215,1,1,0,1,1,41-50,Female,South,12/06/2016
216,0,1,1,1,1,41-50,Female,South,20/10/2016
217,0,1,0,1,1,21-30,Female,East,22/04/2015
218,1,1,1,1,0,41-50,Female,East,10/01/2015
219,1,0,0,1,0,31-40,Female,East,23/09/2016
220,1,1,1,1,0,21-30,Male,West,25/04/2015
221,1,0,0,1,0,41-50,Female,North,21/10/2016
222,0,1,1,1,0,41-50,Male,West,11/03/2016
223,0,1,0,1,1,41-50,Female,East,12/02/2016
224,1,1,0,0,0,31-40,Female,West,12/05/2015
225,1,1,1,1,1,21-30,Male,East,25/11/2015
226,1,1,1,1,0,41-50,Female,East,19/04/2016
227,0,0,0,1,0,31-40,Female,East,15/06/2015
228,1,1,0,0,0,21-30,Male,West,17/08/2016
229,0,1,0,1,1,21-30,Male,East,14/05/2015
230,0,1,0,1,1,31-40,Male,East,20/06/2015
231,0,0,0,1,0,41-50,Female,West,23/07/2016
232,0,0,0,0,1,41-50,Female,East,20/09/2015
233,0,1,0,0,1,31-40,Female,East,10/02/2015
234,1,1,0,1,1,31-40,Female,West,22/05/2016
235,0,1,1,0,1,21-30,Male,South,14/11/2015
236,1,1,0,0,1,31-40,Male,West,17/03/2016
237,0,0,0,1,0,41-50,Male,North,19/10/2015
238,0,1,0,1,0,21-30,Male,South,14/02/2016
239,0,1,0,1,0,21-30,Female,South,25/08/2016
240,1,0,0,0,1,21-30,Female,North,13/07/2016
241,0,1,0,0,0,31-40,Female,East,12/12/2016
242,0,1,1,0,0,41-50,Female,South,25/03/2016
243,0,0,0,0,0,41-50,Female,West,24/07/2016
244,1,1,0,1,1,41-50,Male,South,13/11/2015
245,0,0,1,1,1,21-30,Female,South,19/07/2015
246,1,1,1,0,1,41-50,Male,West,20/07/2016
247,0,1,1,1,1,21-30,Female,South,21/05/2015
248,0,1,0,1,1,41-50,Male,East,18/02/2015
249,0,1,1,0,0,31-40,Female,East,25/01/2015
250,0,1,1,0,1,31-40,Female,North,22/04/2016
251,1,1,0,1,1,41-50,Male,West,16/10/2016
252,1,1,0,1,1,41-50,Male,East,11/05/2015
253,0,1,0,1,0,31-40,Female,West,11/10/2015
254,1,1,1,1,1,31-40,Male,East,11/04/2015
255,0,0,0,1,0,41-50,Female,East,20/07/2015
256,0,1,0,1,1,31-40,Male,West,10/07/2015
257,1,1,1,0,0,41-50,Male,North,13/01/2016
258,0,1,1,1,1,41-50,Male,West,21/02/2016
259,1,1,1,0,0,31-40,Male,North,25/06/2016
260,0,1,0,1,1,31-40,Female,West,10/03/2015
261,1,1,1,0,0,41-50,Male,South,19/12/2015
262,0,1,0,1,0,31-40,Female,West,20/04/2015
263,1,1,1,0,1,41-50,Male,North,20/01/2016
264,0,1,0,1,0,21-30,Male,North,18/05/2016
265,0,1,1,1,0,21-30,Male,South,16/03/2016
266,1,1,0,1,0,41-50,Male,South,11/01/2016
267,1,1,0,1,0,41-50,Male,South,18/06/2016
268,0,1,1,1,1,41-50,Male,South,18/05/2015
269,1,1,1,1,0,41-50,Female,West,18/10/2016
270,0,1,1,1,1,21-30,Male,South,11/10/2015
271,1,1,1,1,1,31-40,Male,East,15/03/2015
272,0,1,1,1,0,31-40,Female,South,15/02/2015
273,1,1,1,1,0,31-40,Female,North,11/02/2015
274,0,1,1,0,1,21-30,Male,West,12/12/2015
275,1,1,1,1,1,21-30,Male,West,13/02/2015
276,0,1,1,0,1,21-30,Male,East,19/07/2016
277,1,1,0,1,0,31-40,Female,East,11/08/2015
278,1,1,1,1,0,41-50,Female,East,20/12/2015
279,0,1,1,0,1,21-30,Male,West,14/04/2015
280,0,1,0,1,0,21-30,Female,North,11/12/2016
281,0,1,1,0,1,41-50,Male,South,24/02/2015
282,0,1,0,1,1,21-30,Male,South,25/09/2015
283,0,1,1,1,0,41-50,Female,East,10/08/2015
284,1,1,1,1,1,31-40,Male,North,12/10/2016
285,1,1,0,1,1,31-40,Male,South,14/06/2016
286,1,0,0,1,0,31-40,Male,South,17/02/2015
287,1,1,1,1,0,31-40,Female,North,11/09/2015
288,0,1,0,1,1,31-40,Female,West,22/11/2015
289,1,1,0,1,1,41-50,Female,South,16/04/2016
290,0,1,1,1,1,31-40,Male,West,24/08/2016
291,1,1,0,1,1,41-50,Male,North,24/11/2016
292,0,1,1,1,0,21-30,Female,West,22/04/2016
293,1,0,1,1,1,41-50,Female,East,14/08/2015
294,0,1,0,1,1,41-50,Female,West,23/07/2016
295,1,1,0,0,1,21-30,Male,East,20/03/2015
296,1,1,1,1,0,21-30,Male,West,21/03/2015
297,0,1,0,1,1,21-30,Female,North,25/01/2016
298,0,0,1,1,0,31-40,Male,North,16/03/2015
299,0,1,1,0,1,31-40,Male,South,19/04/2016
300,0,1,1,1,0,31-40,Male,North,15/07/2016
301,1,1,0,1,0,21-30,Female,East,14/12/2015
302,0,1,0,1,1,41-50,Male,North,11/01/2016
303,0,0,0,1,1,41-50,Male,North,21/04/2016
304,1,1,0,1,0,31-40,Male,South,16/11/2016
305,0,1,1,0,1,41-50,Male,North,16/02/2016
306,1,1,1,1,1,31-40,Female,West,15/10/2016
307,1,1,1,1,1,41-50,Female,South,20/08/2016
308,1,0,1,1,0,31-40,Female,West,24/05/2015
309,0,1,1,1,1,31-40,Male,East,23/03/2015
310,1,1,0,1,0,21-30,Female,East,11/05/2016
311,0,1,0,1,0,21-30,Female,East,17/11/2015
312,0,1,0,1,0,31-40,Male,West,14/01/2015
313,1,0,0,1,1,31-40,Male,North,17/05/2015
314,1,1,0,1,1,21-30,Female,South,19/03/2015
315,1,0,1,1,1,21-30,Female,East,25/10/2016
316,0,1,0,0,1,21-30,Male,West,15/05/2016
317,0,1,0,1,1,31-40,Female,West,21/12/2015
318,0,1,1,1,1,41-50,Female,North,13/07/2015
319,0,1,1,1,0,41-50,Male,East,23/01/2016
320,1,1,1,1,0,21-30,Female,North,19/08/2015
321,1,1,0,1,1,21-30,Female,West,16/11/2015
322,0,1,1,1,0,31-40,Female,West,22/06/2016
323,1,1,1,1,1,41-50,Male,South,10/08/2015
324,0,1,1,1,0,21-30,Male,North,12/01/2016
325,0,0,0,0,0,31-40,Female,East,23/07/2016
326,1,1,0,1,1,31-40,Female,East,11/09/2016
327,0,1,1,1,0,21-30,Female,South,18/05/2016
328,0,1,0,0,0,31-40,Female,North,25/11/2015
329,1,0,1,1,1,41-50,Male,West,16/12/2016
330,1,1,1,1,0,21-30,Female,East,14/02/2015
331,0,1,1,1,1,21-30,Female,West,17/10/2015
332,0,1,1,1,1,41-50,Male,East,10/03/2015
333,0,1,0,1,0,21-30,Male,West,18/09/2016
334,1,1,1,1,1,41-50,Female,West,25/03/2015
335,0,1,1,1,0,21-30,Female,South,14/12/2016
336,0,1,0,0,1,21-30,Male,South,25/05/2016
337,1,1,1,1,0,21-30,Male,West,23/08/2015
338,1,1,1,1,1,21-30,Female,South,23/07/2015
339,1,1,1,0,0,31-40,Female,South,14/11/2016
340,1,0,1,0,1,41-50,Male,North,10/04/2016
341,1,1,0,1,0,21-30,Male,East,15/03/2015
342,0,1,1,1,1,31-40,Female,South,15/04/2015
343,0,1,1,1,1,21-30,Male,East,12/10/2016
344,0,1,1,1,1,31-40,Female,West,23/05/2015
345,1,1,1,1,0,21-30,Female,South,23/06/2015
346,1,1,0,0,1,21-30,Female,North,18/06/2015
347,0,0,1,1,0,41-50,Female,South,10/11/2016
348,1,1,0,1,1,21-30,Male,West,12/04/2015
349,0,1,0,1,1,41-50,Female,North,16/07/2015
350,0,1,1,1,0,21-30,Female,South,13/04/2015
351,0,1,1,1,1,21-30,Male,North,21/03/2016
352,0,1,1,1,1,31-40,Female,East,14/09/2015
353,1,1,0,1,0,41-50,Male,South,12/08/2016
354,0,0,1,1,1,41-50,Male,South,14/06/2016
355,1,1,1,0,0,21-30,Male,East,10/07/2016
356,0,1,1,1,1,21-30,Female,East,23/09/2015
357,0,1,1,1,1,21-30,Female,South,20/09/2016
358,1,1,0,0,0,41-50,Female,South,20/09/2016
359,0,1,1,1,0,21-30,Male,West,14/09/2015
360,1,0,0,1,0,41-50,Male,East,24/12/2016
361,1,1,1,1,0,31-40,Female,West,19/05/2015
362,0,0,1,0,0,31-40,Female,North,23/01/2015
363,1,1,0,1,0,41-50,Male,East,22/04/2016
364,0,1,1,0,1,31-40,Female,South,15/03/2015
365,1,1,1,1,0,41-50,Male,North,17/03/2015
366,1,1,1,1,0,41-50,Female,South,24/05/2016
367,0,1,1,0,1,41-50,Male,East,12/09/2016
368,0,1,0,1,1,41-50,Female,South,24/12/2016
369,1,0,1,1,0,21-30,Female,North,15/10/2016
370,0,1,1,0,0,21-30,Male,East,19/12/2015
371,0,0,1,1,1,21-30,Female,South,12/03/2016
372,1,1,1,0,1,31-40,Female,South,17/10/2015
373,0,1,1,1,1,41-50,Male,West,25/10/2015
374,1,0,0,1,0,41-50,Female,West,13/01/2015
375,1,1,0,0,1,21-30,Male,West,15/01/2016
376,1,1,1,1,1,31-40,Male,North,23/08/2015
377,0,1,0,0,1,41-50,Male,West,18/09/2016
378,1,1,0,1,1,31-40,Female,North,16/05/2015
379,0,1,0,1,1,31-40,Male,North,24/01/2015
380,0,1,0,1,1,31-40,Male,East,19/08/2015
381,1,1,0,1,0,21-30,Male,East,25/12/2016
382,0,1,0,0,0,41-50,Male,North,24/06/2015
383,0,1,0,0,0,31-40,Male,North,15/10/2015
384,0,1,1,0,0,31-40,Male,West,21/08/2015
385,0,1,1,1,1,21-30,Male,South,20/06/2015
386,0,1,1,1,0,21-30,Male,West,12/07/2016
387,1,1,0,1,0,21-30,Female,South,21/06/2015
388,0,1,0,1,0,21-30,Male,North,16/03/2015
389,1,1,0,1,1,41-50,Male,North,22/12/2016
390,0,0,0,1,0,21-30,Female,South,20/01/2016
391,1,0,0,0,1,31-40,Male,South,16/07/2016
392,0,1,0,1,0,21-30,Female,South,19/05/2016
393,0,1,0,1,1,41-50,Female,West,19/05/2015
394,0,1,0,0,1,31-40,Male,North,11/02/2016
395,0,1,0,1,0,41-50,Female,East,19/11/2015
396,0,1,0,1,1,31-40,Male,South,16/11/2015
397,1,1,1,0,0,31-40,Female,East,10/01/2015
398,0,1,0,1,0,31-40,Male,West,10/11/2016
399,0,1,0,1,1,41-50,Female,South,22/08/2015
400,1,1,1,0,1,21-30,Male,North,11/01/2015
401,1,0,1,1,1,41-50,Male,West,11/12/2015
402,0,0,1,1,1,31-40,Female,North,13/10/2015
403,0,1,0,1,0,21-30,Male,South,17/05/2016
404,0,1,0,1,0,21-30,Male,West,10/09/2016
405,0,1,1,1,1,21-30,Female,South,22/09/2015
406,0,1,1,1,1,31-40,Female,East,23/06/2015
407,1,1,1,1,0,31-40,Male,East,24/04/2015
408,1,1,1,0,0,41-50,Female,South,20/04/2016
409,1,0,1,1,0,21-30,Male,South,23/10/2015
410,1,0,0,1,0,31-40,Male,East,11/04/2016
411,1,1,0,1,0,41-50,Female,North,14/03/2016
412,1,0,0,0,0,21-30,Male,North,23/10/2015
413,1,0,0,1,0,41-50,Male,East,15/04/2015
414,0,1,1,1,1,41-50,Female,South,15/10/2015
415,0,1,1,1,0,41-50,Female,North,18/05/2015
416,1,1,0,1,0,31-40,Female,East,13/12/2016
417,1,1,0,1,0,21-30,Female,East,17/10/2016
418,1,1,1,1,0,21-30,Female,South,16/08/2015
419,1,1,1,1,1,31-40,Female,West,12/12/2015
420,1,1,1,1,1,31-40,Male,North,14/12/2016
421,0,1,0,1,0,21-30,Male,West,13/06/2016
422,1,1,1,1,1,21-30,Male,East,22/09/2015
423,0,1,0,1,1,41-50,Female,North,18/12/2015
424,0,0,0,1,1,31-40,Female,North,20/08/2015
425,0,0,0,0,1,41-50,Male,West,15/09/2015
426,0,1,0,1,1,31-40,Female,East,12/03/2015
427,0,0,1,1,0,21-30,Male,East,13/09/2016
428,1,1,1,1,1,31-40,Male,South,20/11/2016
429,1,1,0,1,0,21-30,Male,South,16/09/2015
430,1,1,0,1,1,41-50,Female,South,17/07/2015
431,1,0,0,1,1,31-40,Female,West,10/03/2016
432,0,1,0,1,1,41-50,Female,East,25/05/2016
433,0,1,1,0,1,21-30,Male,East,11/11/2015
434,1,1,1,0,0,31-40,Male,South,13/02/2015
435,0,1,1,1,0,21-30,Female,North,12/02/2015
436,0,1,1,0,0,31-40,Female,East,11/02/2015
437,1,1,1,1,1,31-40,Male,North,19/01/2015
438,0,1,0,1,1,21-30,Male,East,10/12/2016
439,0,1,1,1,1,41-50,Female,North,17/04/2016
440,0,1,1,1,1,41-50,Male,West,20/01/2016
441,1,1,1,1,0,41-50,Female,South,25/06/2016
442,0,1,0,0,0,21-30,Female,North,13/02/2016
443,0,1,1,1,1,21-30,Male,North,10/10/2015
444,1,1,1,0,1,31-40,Female,East,15/02/2016
445,1,1,1,1,0,31-40,Male,East,14/04/2015
446,1,1,0,1,0,31-40,Female,North,17/04/2015
447,0,1,0,1,1,41-50,Female,South,14/03/2016
448,1,1,1,1,1,41-50,Female,North,23/07/2015
449,1,0,0,1,0,41-50,Female,West,11/02/2015
450,0,1,0,0,1,31-40,Female,North,21/11/2016
451,1,1,1,1,1,31-40,Female,South,13/03/2016
452,0,1,1,0,1,31-40,Female,West,10/10/2015
453,0,1,0,1,1,21-30,Female,West,13/05/2015
454,0,1,0,1,0,41-50,Female,North,22/01/2016
455,0,1,0,1,1,41-50,Male,East,18/08/2016
456,1,1,0,1,0,41-50,Male,West,10/10/2016
457,1,1,0,1,0,31-40,Male,North,20/07/2016
458,0,0,0,1,0,41-50,Female,North,14/08/2015
459,1,1,0,1,1,31-40,Male,East,20/12/2015
460,1,1,1,1,1,31-40,Female,South,10/08/2015
461,1,1,1,1,1,21-30,Female,South,14/12/2016
462,0,1,1,1,1,41-50,Female,South,10/02/2015
463,1,1,0,1,1,41-50,Male,North,20/09/2015
464,1,1,0,1,0,31-40,Male,East,11/11/2016
465,1,1,0,1,1,41-50,Female,South,23/04/2015
466,0,1,1,1,0,31-40,Male,North,18/01/2015
467,1,0,1,1,0,41-50,Male,North,24/09/2015
468,0,1,0,1,0,21-30,Female,North,14/06/2015
469,0,1,0,1,1,21-30,Male,North,14/06/2015
470,0,0,1,1,0,31-40,Female,East,17/02/2015
471,0,1,1,1,1,41-50,Female,East,22/05/2015
472,0,1,0,1,1,21-30,Female,South,25/01/2015
473,1,1,1,1,1,41-50,Male,East,24/03/2016
474,0,1,0,1,1,21-30,Male,East,18/09/2016
475,1,1,0,0,1,31-40,Male,North,11/10/2016
476,1,1,1,0,1,41-50,Female,North,24/04/2015
477,0,1,0,1,1,41-50,Female,North,14/03/2016
478,0,1,1,0,1,31-40,Male,East,10/12/2015
479,1,1,0,0,0,31-40,Female,South,13/09/2016
480,1,0,1,1,0,41-50,Male,South,17/05/2015
481,1,1,1,1,0,41-50,Female,North,10/04/2015
482,1,1,1,1,1,41-50,Female,North,12/04/2016
483,1,1,0,1,0,31-40,Female,East,21/03/2015
484,0,1,1,1,0,21-30,Female,South,20/08/2015
485,1,1,0,0,0,31-40,Male,South,12/01/2016
486,0,0,1,1,1,21-30,Female,East,25/12/2016
487,1,1,0,0,0,21-30,Male,South,18/10/2016
488,1,1,0,0,1,41-50,Male,East,16/06/2016
489,0,1,1,1,1,41-50,Female,South,12/02/2016
490,1,1,0,1,0,21-30,Male,East,23/02/2016
491,0,1,0,1,0,41-50,Male,West,20/06/2015
492,1,1,1,1,1,41-50,Male,East,19/01/2016
493,1,1,1,1,0,31-40,Male,North,18/09/2015
494,0,0,0,0,0,41-50,Male,West,15/11/2015
495,1,0,0,1,0,21-30,Male,South,23/11/2016
